	Q1
江浙战争	Q9146
江海关	Q9147
江淮丘陵	Q9148
江淮地区	Q9149
江淮运河	Q9150
江苏	Q9151
江苏菜	Q9152
江西理工大学	Q9153
江西等处行中书省	Q9154
江西（中华人民共和国省级行政区）	Q9155
江门	Q9156
江青（“四人帮”成员）	Q9157
池上乡	Q9158
池州	Q9159
池州九华山机场	Q9160
池州府	Q9161
池州港	Q9162
池约翰	Q9163
污名化	Q9164
污染指数	Q9165
汤姆叔叔的小屋（1965年德国电影）	Q9166
汤姆森（澳洲保健品品牌thompsons汤姆森）	Q9167
汤尔和	Q9168
汤森路透	Q9169
汤河（河北汤河）	Q9170
汤液经法	Q9171
汤芗铭	Q9172
汤若望	Q9173
汪东兴	Q9174
汪伪国民政府	Q9175
汪国真	Q9176
汪洋（中央政治局常委，十三届全国政协主席）	Q9177
汪直（明朝成化年间宦官）	Q9178
汪精卫	Q9179
汪见虹	Q9180
汪辜会谈	Q9181
汪道涵	Q9182
汪金祥（国家公安部顾问）	Q9183
汶川县	Q9184
汽油发动机	Q9185
汽车	Q9186
汽车产业发展政策	Q9187
汽车导航系统	Q9188
汽车工业	Q9189
汽车市场	Q9190
汽车音响	Q9191
汾河（黄河在山西境内的支流）	Q9192
沁阳	Q9193
沃夫冈	Q9194
沃尔姆斯	Q9195
沃尔特·司各特	Q9196
沃尔玛百货有限公司	Q9197
沃德·坎宁安	Q9198
沃甲	Q9199
沃达丰	Q9200
沈丹铁路	Q9201
沈丹高速公路	Q9202
沈丹高速铁路	Q9203
沈丹（钢琴演奏家）	Q9204
沈云（中共芜湖县委常委、组织部长）	Q9205
沈吉（中国科学院南京地理与湖泊研究所党委书记）	Q9206
沈大高速公路	Q9207
沈家本	Q9208
沈括	Q9209
沈醉（中华民国陆军中将）	Q9210
沈阳东塔	Q9211
沈阳东陵	Q9212
沈阳京剧院	Q9213
沈阳城市学院	Q9214
沈阳市第六十七中学	Q9215
沈阳故宫	Q9216
沈阳第一水泥厂	Q9217
沈阳药科大学	Q9218
沈阳钢铁总厂	Q9219
沈阳音乐学院	Q9220
沈阳飞机工业公司	Q9221
沈阳飞机工业集团	Q9222
沈阳飞机设计研究所	Q9223
沈阳（中国常驻联合国教科文组织代表）	Q9224
沈阳（辽宁省省会）	Q9225
沔阳剪纸	Q9226
沔阳州	Q9227
沔阳皮影戏	Q9228
沔阳花鼓戏	Q9229
沙丘之变	Q9230
沙井街道（广东省深圳市宝安区沙井街道）	Q9231
沙利度胺	Q9232
沙叶新	Q9233
沙奎尔·奥尼尔	Q9234
沙尘暴（天气现象）	Q9235
沙滩足球（休闲体育运动项目）	Q9236
沙漠之鹰	Q9237
沙特阿拉伯	Q9238
沙田镇（广东省东莞市沙田镇）	Q9239
沙窝会议	Q9240
沙罗周期	Q9241
沙逊大厦	Q9242
沙金（矿石）	Q9243
沙面	Q9244
沛国（沛侯国）	Q9245
沧州	Q9246
沪昆铁路	Q9247
沪昆高速铁路	Q9248
沪汉蓉	Q9249
沪汉蓉铁路	Q9250
沪江大学	Q9251
沪渎	Q9252
沪蓉高速公路	Q9253
沪陕高速公路	Q9254
河亶甲	Q9255
河伯娶妇	Q9256
河内（越南首都）	Q9257
河北东路	Q9258
河北农业大学	Q9259
河北大学	Q9260
河北工业大学	Q9261
河北工程大学	Q9262
河北师范大学	Q9263
河北梆子	Q9264
河北省人民政府	Q9265
河北省博物馆	Q9266
河北省图书馆	Q9267
河北衡水湖国家级自然保护区	Q9268
河北西路	Q9269
河北道（唐代河北道）	Q9270
河北（中华人民共和国省级行政区）	Q9271
河南人（中国特定地区人称呼）	Q9272
河南卫辉	Q9273
河南大学	Q9274
河南江北等处行中书省	Q9275
河南省人民政府	Q9276
河南铁路	Q9277
河南高速公路	Q9278
河南龙山文化	Q9279
河南（中华人民共和国省级行政区）	Q9280
河口瑶族自治县	Q9281
河套地区	Q9282
河姆渡文化（远古时期人类文明）	Q9283
河川	Q9284
河曲县	Q9285
河曲马	Q9286
河流作用	Q9287
河海大学	Q9288
河源（广东省辖地级市）	Q9289
河西地区	Q9290
河西走廊（地理名词）	Q9291
河钢集团有限公司	Q9292
河间学派	Q9293
河间王	Q9294
油料	Q9295
油条（油炸食品）	Q9296
油漆	Q9297
油爆虾	Q9298
油脂植物	Q9299
油茶（山茶科植物）	Q9300
油菜籽	Q9301
油葱酥	Q9302
油辣椒	Q9303
油页岩	Q9304
油（常温下为液体憎水性物质总称）	Q9305
治丧委员会	Q9306
治安管理处罚	Q9307
治理黄河	Q9308
沾益区	Q9309
沿江平原	Q9310
沿江高速公路	Q9311
沿海地区	Q9312
沿海平原	Q9313
沿海开放城市	Q9314
泉州	Q9315
泉州平原	Q9316
泉州港	Q9317
泉州湾	Q9318
法人（法律概念）	Q9319
法兰克福大学	Q9320
法兰克福学派	Q9321
法兰克福（德国黑森州最大城市）	Q9322
法兰西殖民帝国	Q9323
法制	Q9324
法力	Q9325
法务省	Q9326
法医	Q9327
法医学（清华大学出版社出版图书）	Q9328
法医鉴定	Q9329
法卡山	Q9330
法哲学（法的基本理论的一门学科）	Q9331
法国共产党	Q9332
法国南部	Q9333
法国参议院	Q9334
法国大革命（历史革命）	Q9335
法国战役	Q9336
法国电影	Q9337
法国科学院	Q9338
法国蓝色海岸	Q9339
法国（法兰西共和国）	Q9340
法学教育	Q9341
法学研究	Q9342
法学硕士	Q9343
法学（关于法律问题的知识和理论体系）	Q9344
法官（法律术语）	Q9345
法定节假日	Q9346
法家	Q9347
法家哲学	Q9348
法家思想	Q9349
法属北非	Q9350
法属印度支那	Q9351
法属叙利亚托管地	Q9352
法库县	Q9353
法律专业	Q9354
法律制裁	Q9355
法律博士	Q9356
法律史学	Q9357
法律地位	Q9358
法律手段	Q9359
法律特征	Q9360
法律现象	Q9361
法律的概念	Q9362
法律经济学	Q9363
法律职业	Q9364
法律观念	Q9365
法律（法律概念）	Q9366
法术（原始社会早期的一种宗教现象）	Q9367
法条竞合	Q9368
法治国家	Q9369
法理学（法学学科）	Q9370
法的本质	Q9371
法系（法律）	Q9372
法绍达事件	Q9373
法老（古埃及君主的尊称）	Q9374
法西斯（极端独裁形式）	Q9375
法鼓山	Q9376
泗州戏	Q9377
泗水县	Q9378
泗水郡	Q9379
泗洪县	Q9380
泛函分析（数学分支学科）	Q9381
泛灵论	Q9382
泛生	Q9383
泛胜之书	Q9384
泛蓝联盟	Q9385
泡桐（植物）	Q9386
泡沫红茶	Q9387
泡沫经济	Q9388
泡饭	Q9389
波兰人民共和国	Q9390
波兰走廊	Q9391
波兰（波兰共和国）	Q9392
波函数	Q9393
波动力学（学科名称）	Q9394
波士顿（美国马萨诸塞州的首府和最大城市）	Q9395
波尔多（法国城市bordeaux）	Q9396
波尔布特	Q9397
波希战争	Q9398
波希米亚人（波西米亚人）	Q9399
波希米亚和摩拉维亚保护国	Q9400
波形图	Q9401
波拉（《妖精的尾巴》人物之一）	Q9402
波拉（中国内地歌手）	Q9403
波斯人	Q9404
波斯尼亚人	Q9405
波斯帝国	Q9406
波斯猫（小型猫科哺乳动物）	Q9407
波斯（古代文明及民族）	Q9408
波普尔	Q9409
波爱修斯	Q9410
波罗的海国家	Q9411
波美拉尼亚	Q9412
波茨坦会议	Q9413
波茨坦协定	Q9414
波里比阿	Q9415
波长范围	Q9416
波音747	Q9417
波音（美国航空航天制造公司）	Q9418
泥石流（地质学名词）	Q9419
注册商标	Q9420
泰克（泰克科技公司）	Q9421
泰勒·斯威夫特（美国创作型女歌手）	Q9422
泰勒斯	Q9423
泰国	Q9424
泰国东方航空	Q9425
泰国人	Q9426
泰国王室	Q9427
泰奥弗拉斯托斯	Q9428
泰宁县（福建省泰宁县）	Q9429
泰安（江苏扬州市泰安镇）	Q9430
泰山（世界文化与自然双重遗产，国家5a级旅游景区）	Q9431
泰晤士报	Q9432
泰森·盖伊	Q9433
泰西封	Q9434
泰雅族	Q9435
泸定桥	Q9436
洋中脊	Q9437
洋务派	Q9438
洋务运动	Q9439
洋山深水港	Q9440
洋山港区	Q9441
洋河（中国洋河白酒品牌）	Q9442
洋流	Q9443
洋浦港	Q9444
洋浦经济开发区	Q9445
洗冤集录	Q9446
洗脑（一种思想灌输行为）	Q9447
洛克菲勒大学	Q9448
洛克（美籍奥地利学者约瑟夫·洛克）	Q9449
洛夫（诗人）	Q9450
洛杉矶	Q9451
洛桑学派	Q9452
洛达庙	Q9453
洛迦诺公约	Q9454
洛邑	Q9455
洛阳东站	Q9456
洛阳地铁	Q9457
洛阳太学	Q9458
洛阳盆地	Q9459
洛阳（河南省地级市、十三朝古都）	Q9460
洛阳（河南省地级市）	Q9461
洞庭湖（长江流域湖泊）	Q9462
津巴布韦	Q9463
津浦铁路	Q9464
洪宪	Q9465
洪武	Q9466
洪武之治	Q9467
洪民生	Q9468
洪水（军事将领）	Q9469
洪泽湖	Q9470
洪深（民国时期电影先驱）	Q9471
洪熙	Q9472
洪秀全	Q9473
洪门（明末清初秘密组织和现代洪门神秘组织）	Q9474
洮河	Q9475
活动主题	Q9476
活动断层	Q9477
活动星系	Q9478
活动星系核	Q9479
活动积温	Q9480
活化石	Q9481
活路外交	Q9482
流亡政府	Q9483
流动人口	Q9484
流域面积	Q9485
流媒体	Q9486
流感疫苗	Q9487
流星雨（天文现象）	Q9488
流星（天文现象）	Q9489
流行性感冒	Q9490
流行音乐（reza bagher执导电影）	Q9491
流行音乐（一种音乐风格）	Q9492
流通纪念币	Q9493
流量控制	Q9494
浅海区	Q9495
浅田春	Q9496
浈江	Q9497
测绘仪器	Q9498
测绘学	Q9499
测量仪器	Q9500
测量数据	Q9501
测量结果	Q9502
浍河（淮河支流怀洪新河的支流）	Q9503
济公（南宋高僧）	Q9504
济北王	Q9505
济北郡	Q9506
济南惨案	Q9507
济南（山东省省会）	Q9508
济广高速公路	Q9509
济源	Q9510
浏览器	Q9511
浑河（辽河水系大辽河支流）	Q9512
浓油赤酱	Q9513
浓香型	Q9514
浙商	Q9515
浙江	Q9516
浙江大学	Q9517
浙江菜	Q9518
浦东开发	Q9519
浦东新区	Q9520
浦东说书	Q9521
浦东铁路	Q9522
浦薛凤	Q9523
浦西	Q9524
浪漫主义	Q9525
浪潮集团有限公司	Q9526
浮力	Q9527
浮夸风	Q9528
浮梁县	Q9529
海上丝绸之路（海上贸易通道）	Q9530
海上丝路（2015年严屹宽主演电视剧）	Q9531
海上封锁	Q9532
海上田园	Q9533
海上画派	Q9534
海上白云观	Q9535
海上航路	Q9536
海上花列传	Q9537
海丰县（广东省汕尾市海丰县）	Q9538
海什木	Q9539
海军本部	Q9540
海冰（海水冻结而成的咸水冰）	Q9541
海利根达姆	Q9542
海南东环铁路	Q9543
海南国际旅游岛	Q9544
海南地区环线高速公路	Q9545
海南岛战役（解放战争战役）	Q9546
海南旅游	Q9547
海南清水湾	Q9548
海南特别行政区	Q9549
海南省人民政府	Q9550
海南省行政区划	Q9551
海南经济特区	Q9552
海南航空股份有限公司	Q9553
海南行政区	Q9554
海南行政区人民政府	Q9555
海南西环铁路（2015年开通的动车组快速铁路）	Q9556
海南（中华人民共和国省级行政区）	Q9557
海参	Q9558
海参崴	Q9559
海口寰岛泰得大酒店	Q9560
海口江东新区	Q9561
海口美丽沙	Q9562
海口美兰国际机场	Q9563
海口（海南省省会）	Q9564
海员	Q9565
海啸（自然灾害）	Q9566
海因茨·威廉·古德里安	Q9567
海国图志	Q9568
海地（北美洲国家）	Q9569
海城（辽宁省鞍山市代管市）	Q9570
海外华人	Q9571
海外贸易	Q9572
海外高层次人才引进计划	Q9573
海岱城址群	Q9574
海岸地貌	Q9575
海岸山脉	Q9576
海岸线（大海和地面的交界线）	Q9577
海峡两岸（中国中央电视台栏目）	Q9578
海峡交流基金会	Q9579
海峡西岸经济区	Q9580
海带（植物）	Q9581
海底热泉	Q9582
海康县	Q9583
海心沙（亚运会开幕式举办地）	Q9584
海拉尔区	Q9585
海拔高度	Q9586
海棠湾	Q9587
海水浴场	Q9588
海水淡化	Q9589
海河	Q9590
海河水系	Q9591
海河流域	Q9592
海洋动物（海洋中异养型生物的总称）	Q9593
海洋化学	Q9594
海洋捕捞	Q9595
海洋文化（民族文化）	Q9596
海洋文明	Q9597
海洋权益	Q9598
海洋浮标	Q9599
海洋调查船	Q9600
海洋资源	Q9601
海洋酸化	Q9602
海派京剧	Q9603
海派文化（文化名词）	Q9604
海派文学	Q9605
海牙国际法庭	Q9606
海狮计划	Q9607
海王星（太阳系八大行星之一）	Q9608
海莉·薇思特拉	Q9609
海蜇（水生无脊椎动物）	Q9610
海西女真	Q9611
海角七号（2008年魏德圣执导台湾电影）	Q9612
海豚（生活在海洋中的鲸目哺乳动物）	Q9613
海豹（动物名称）	Q9614
海运	Q9615
海都之乱	Q9616
海防同知	Q9617
海陆（中国内地女演员）	Q9618
海韵	Q9619
海鲜（海里的可食用的动物性、或植物性原料）	Q9620
海鸣威	Q9621
消费品零售额	Q9622
消费类型	Q9623
消费者权益	Q9624
消费者理论	Q9625
涌口村	Q9626
涡河	Q9627
涡阳县	Q9628
润众	Q9629
涯话	Q9630
涿郡	Q9631
涿鹿之战	Q9632
涿鹿之野	Q9633
淀山湖	Q9634
淀粉	Q9635
淀粉植物	Q9636
淇县	Q9637
淇澳岛	Q9638
淋巴细胞	Q9639
淘宝信用等级	Q9640
淝水	Q9641
淝水之战	Q9642
淞沪会战（抗日战争时期规模最大、战斗最惨烈的战役）	Q9643
淞沪铁路	Q9644
淠河	Q9645
淡水养殖	Q9646
淡水河（河流）	Q9647
淡水湖	Q9648
淡水资源	Q9649
淡淡幽情	Q9650
淮军	Q9651
淮北平原	Q9652
淮北站	Q9653
淮北花鼓戏	Q9654
淮北（安徽省地级市）	Q9655
淮北（淮河以北地区）	Q9656
淮南	Q9657
淮南东站	Q9658
淮南子	Q9659
淮南线	Q9660
淮南西站	Q9661
淮南路	Q9662
淮南道	Q9663
淮夷（春秋时期国名）	Q9664
淮河	Q9665
淮河文化	Q9666
淮河水系	Q9667
淮河流域	Q9668
淮海中路	Q9669
淮海战役	Q9670
淮海战役（解放战争三大战役之一）	Q9671
深化改革若干重大问题的决定	Q9672
深圳	Q9673
深圳口岸中国旅行社	Q9674
深圳地铁	Q9675
深圳大学	Q9676
深圳市第一职业技术学校	Q9677
深圳港	Q9678
深圳第26届世界大学生夏季运动会	Q9679
深度访谈	Q9680
深沪湾	Q9681
深空天体	Q9682
深衣（汉族礼服）	Q9683
淳于意	Q9684
混合模型	Q9685
混合物	Q9686
混合经济	Q9687
混沌理论（一种兼具质性思考与量化分析的方法）	Q9688
清东陵	Q9689
清党	Q9690
清兵入关	Q9691
清军	Q9692
清净寺	Q9693
清华大学	Q9694
清华大学交叉信息研究院	Q9695
清华大学核能与新能源技术研究院	Q9696
清原满族自治县	Q9697
清平调（王菲邓丽君隔空对唱歌曲）	Q9698
清明上河图（北宋张择端风俗画）	Q9699
清明节（中华民族的传统节日）	Q9700
清昭陵	Q9701
清朝君主	Q9702
清朝（中国历史朝代）	Q9703
清末新政	Q9704
清水祖师	Q9705
清河王	Q9706
清洁工（2007年出品美国电影）	Q9707
清洁能源（不排放污染物的能源）	Q9708
清流河（安徽省东部河流（滁河左岸支流））	Q9709
清源军	Q9710
清源山国家重点风景区	Q9711
清真菜	Q9712
清缅战争	Q9713
清苑县	Q9714
清西陵	Q9715
清谈之风	Q9716
清越战争	Q9717
清迈	Q9718
清远（广东省地级市）	Q9719
渊净土	Q9720
渐进主义	Q9721
渑池县	Q9722
渔业	Q9723
渔阳郡	Q9724
渚碧岛	Q9725
渝怀铁路	Q9726
渡江战役	Q9727
渡航	Q9728
渡辽水	Q9729
渤海国（古代少数民族政权）	Q9730
渤海海峡	Q9731
渤海（中华人民共和国管辖北部内海）	Q9732
温克尔曼	Q9733
温县	Q9734
温哥华（加拿大主要港市）	Q9735
温室气体	Q9736
温家宝（中华人民共和国国务院原总理）	Q9737
温州公交6路	Q9738
温差（温度的高低差别数值）	Q9739
温带大陆性气候	Q9740
温带季风气候	Q9741
温带落叶阔叶林	Q9742
温度（物理量）	Q9743
温斯顿·丘吉尔（英国前首相）	Q9744
温泉（自然泉水）	Q9745
温生才	Q9746
温病学	Q9747
温病学派	Q9748
温补学派	Q9749
渭河平原	Q9750
渭河（中国黄河的最大支流）	Q9751
港口（运输枢纽）	Q9752
港珠澳大桥（连接港珠澳的超大型跨海通道）	Q9753
港铁	Q9754
游学（传统的一种学习教育方式）	Q9755
游戏多	Q9756
游戏性	Q9757
游戏机（名词）	Q9758
游戏类型	Q9759
游戏规则（游戏规则的本义与引申义）	Q9760
游戏（娱乐方式）	Q9761
游戏（韩国2008年尹仁浩执导电影）	Q9762
游泳池（进行游泳运动的场地）	Q9763
游泳（体育运动）	Q9764
游牧民族（以游牧为主要生活方式的民族）	Q9765
游艺（江西画家）	Q9766
游轮（用于搭载乘客从事旅行、游览活动的客运船舶）	Q9767
游锡堃	Q9768
湄公河（中南半岛河流）	Q9769
湄洲湾	Q9770
湖北	Q9771
湖北军政府	Q9772
湖北布政使司	Q9773
湖北新军	Q9774
湖北江汉平原	Q9775
湖北皮影戏	Q9776
湖北省仙桃中学	Q9777
湖北省沙市中学	Q9778
湖北省湖泊保护条例	Q9779
湖北省统计局	Q9780
湖北省荆州中学	Q9781
湖北省荆门市龙泉中学	Q9782
湖北省黄石市第二中学	Q9783
湖南布政使司	Q9784
湖南（中华人民共和国省级行政区）	Q9785
湖口县	Q9786
湖广布政使司	Q9787
湖广总督	Q9788
湖广等处行中书省	Q9789
湖泊	Q9790
湘南起义（1928年朱德、陈毅在宜章县发动的起义）	Q9791
湘菜	Q9792
湘西会战	Q9793
湛江	Q9794
湿壁画	Q9795
源代码（一系列人类可读的计算机语言指令）	Q9796
源代码（示例源程序）	Q9797
源程序	Q9798
溧阳	Q9799
溶洞	Q9800
滁州	Q9801
滁州港	Q9802
滁州站	Q9803
滁河	Q9804
滇系军阀	Q9805
滑石	Q9806
滑稽戏（史蒂芬·安汀执导电影）	Q9807
滑雪（体育运动项目）	Q9808
滑鼠	Q9809
滕尼斯	Q9810
滚石乐队	Q9811
满城汉墓（中山靖王刘胜之墓）	Q9812
满族	Q9813
满族文化	Q9814
满洲	Q9815
满洲里	Q9816
满铁附属地	Q9817
滦平县	Q9818
滦河	Q9819
滨北铁路	Q9820
滨崎步	Q9821
滨江（广州市海珠区滨江街道）	Q9822
滨洲铁路	Q9823
滨海新区（天津市滨海新区）	Q9824
滨绥铁路	Q9825
滴灌	Q9826
演化心理学	Q9827
演化理论	Q9828
演化生物学	Q9829
演化经济学	Q9830
演员（职业名称）	Q9831
演员（薛之谦歌曲）	Q9832
演唱会（一定规模的现场音乐演出）	Q9833
漠南蒙古	Q9834
漠河镇	Q9835
漠河（大兴安岭地区下辖县级市）	Q9836
漫步人生路（邓丽君音乐专辑）	Q9837
漫画（基本含义）	Q9838
漯河（河南省省辖市）	Q9839
漳州	Q9840
漳州平原	Q9841
漳水	Q9842
漳河（海河水系南运河的支流卫河的支流）	Q9843
潘长江	Q9844
潜在超级大国	Q9845
潜山	Q9846
潜意识（心理学名词）	Q9847
潮剧	Q9848
潮州工夫茶	Q9849
潮州开元寺	Q9850
潮州（广东省地级市）	Q9851
潮汐力	Q9852
潮汐发电	Q9853
潮汐（自然现象）	Q9854
潮汕	Q9855
潮汕善堂	Q9856
潮汕地区	Q9857
潮汕文化	Q9858
潮汕英歌舞	Q9859
潮菜	Q9860
潮阳灵山寺	Q9861
潼关（地理名词）	Q9862
澄迈县	Q9863
澎湖列岛	Q9864
澎湖海战	Q9865
澳大利亚	Q9866
澳大利亚共产党	Q9867
澳洲原住民	Q9868
澳门主权移交	Q9869
澳门大学	Q9870
澳门币	Q9871
澳门科技大学法学院	Q9872
澳门经济	Q9873
澳门（中华人民共和国澳门特别行政区）	Q9874
澳门（屈大均的其中一首诗）	Q9875
澳门（巴西电影）	Q9876
激光冷却	Q9877
激光干涉引力波天文台	Q9878
激光（受激辐射光放大）	Q9879
激素	Q9880
濉溪县	Q9881
濒危语言	Q9882
濮阳县	Q9883
灞桥区	Q9884
火力支援	Q9885
火奴鲁鲁（美国夏威夷州首府和港口城市）	Q9886
火山作用	Q9887
